Customer_ID,Age,Gender,Location,Device,Customer_Type,Channel,Campaign_Type,Impressions,Clicks,Conversions,Campaign_Cost,Revenue,Discount_Used,Bounce_Rate_%,Session_Duration_sec,Email_Opened,Ad_Position,Date,Month
CUST100000,56,Male,Bangalore,Tablet,Returning,Organic,Awareness,32291,5775,158,"$9,410.00","$9,282.00",No,14.91,550,No,Middle,2/9/2024,February
CUST100001,46,Female,Ahmedabad,Mobile,New,Affiliate,Awareness,51442,1737,90,"$3,248.00","$28,227.00",No,54.02,858,No,Bottom,3/21/2024,March
CUST100002,32,Male,Delhi,Desktop,New,Google Ads,Awareness,50002,1977,159,"$2,989.00","$32,953.00",Yes,33.02,868,No,Bottom,11/13/2024,November
CUST100003,25,Male,Bangalore,Mobile,Returning,Google Ads,Consideration,10894,1679,319,"$2,350.00","$14,412.00",No,75.52,54,No,Bottom,2/22/2024,February
CUST100004,38,Female,Ahmedabad,Mobile,Returning,Social Media,Awareness,2750,3108,103,$946.00,"$18,957.00",No,74.12,145,No,Bottom,3/18/2024,March
CUST100005,56,Female,Pune,Mobile,Returning,Email,Awareness,21944,2098,90,"$6,789.00","$26,061.00",Yes,20.28,894,No,Bottom,9/10/2024,September
CUST100006,36,Female,Hyderabad,Mobile,New,Social Media,Awareness,47464,2964,314,"$1,783.00","$8,484.00",Yes,22.8,143,Yes,Top,9/6/2024,September
CUST100007,40,Male,Hyderabad,Tablet,New,Influencer,Awareness,23467,5273,280,"$2,781.00",$788.00,Yes,35.68,444,No,Middle,7/23/2024,July
CUST100008,28,Male,Bangalore,Desktop,Returning,Google Ads,Consideration,20121,5362,359,"$1,255.00","$32,974.00",Yes,56.47,245,Yes,Middle,5/4/2024,May
CUST100009,28,Female,Hyderabad,Tablet,Returning,Social Media,Awareness,25123,5209,67,"$5,356.00","$11,031.00",Yes,37.4,800,No,Bottom,11/30/2024,November
CUST100010,41,Male,Pune,Desktop,New,Email,Conversion,61640,1847,171,"$1,004.00","$30,025.00",No,38.02,472,No,Top,4/6/2024,April
CUST100011,53,Male,Chennai,Desktop,Returning,Email,Conversion,55499,2459,170,"$8,999.00","$30,639.00",No,21.2,69,Yes,Bottom,3/1/2024,March
CUST100012,57,Male,Delhi,Desktop,New,Google Ads,Awareness,46545,1136,142,"$2,400.00","$23,903.00",No,36.85,306,No,Bottom,4/10/2024,April
CUST100013,41,Female,Kolkata,Desktop,Returning,Organic,Awareness,47396,5212,396,"$5,940.00","$32,569.00",No,47.63,23,Yes,Bottom,9/5/2024,September
CUST100014,20,Female,Mumbai,Desktop,New,Social Media,Consideration,15516,2025,224,"$4,794.00","$9,350.00",No,88.78,804,No,Middle,7/5/2024,July
CUST100015,39,Male,Pune,Tablet,Returning,Affiliate,Conversion,16821,1181,196,"$5,527.00","$38,874.00",No,77.04,204,Yes,Top,2/20/2024,February
CUST100016,19,Male,Ahmedabad,Desktop,Returning,Google Ads,Consideration,11876,4139,197,"$5,981.00","$17,806.00",Yes,73.44,149,Yes,Top,12/1/2024,December
CUST100017,41,Male,Kolkata,Mobile,Returning,Influencer,Awareness,18776,187,172,"$7,167.00","$36,331.00",No,54.79,116,Yes,Top,8/2/2024,August
CUST100018,47,Male,Pune,Tablet,New,Social Media,Conversion,35006,5415,152,"$8,560.00","$8,916.00",Yes,38.81,689,No,Bottom,3/1/2024,March
CUST100019,55,Female,Mumbai,Tablet,Returning,Social Media,Conversion,79892,2020,152,"$2,823.00","$16,470.00",No,78.56,74,No,Top,7/26/2024,July
CUST100020,19,Female,Mumbai,Desktop,Returning,Google Ads,Consideration,26044,308,9,"$1,938.00","$30,960.00",No,37.79,538,No,Top,2/17/2024,February
CUST100021,38,Male,Delhi,Mobile,Returning,Organic,Awareness,77230,1057,189,"$4,241.00","$35,525.00",Yes,57.42,644,Yes,Top,1/14/2024,January
